TransactionID,CapturedDate,SettlementDate,Amount,TransactionStatusTypeID,CreditCardAccountID,CardNumberMasked,NameOnCard,City,State,ZipCode,MerchantName,IssuingBankName,FirstName,LastName,Email,is_fraud,fraud_type,fraud_score,fraud_flags
4655810,2025-10-18 14:13:33,2025-10-20 14:13:33,194.2,5,11546,XXXXXXXXXXXX3200,Patricia Johnson,Chicago,IL,30403,CVS Pharmacy,WELLS FARGO,Patricia,Johnson,patricia.johnson@example.com,False,LEGITIMATE,0,
4655811,2025-10-18 14:18:33,2025-10-19 14:18:33,368.32,5,12466,XXXXXXXXXXXX7181,Karen Thompson,Denver,CO,23047,Whole Foods,TRUIST BANK,Karen,Thompson,karen.thompson@example.com,False,LEGITIMATE,0,
4655812,2025-10-18 14:37:33,2025-10-21 14:37:33,318.14,5,12399,XXXXXXXXXXXX1186,Karen Smith,Miami,FL,30083,CVS Pharmacy,CHASE BANK,Karen,Smith,karen.smith@example.com,False,LEGITIMATE,0,
4655813,2025-10-18 14:48:33,2025-10-21 14:48:33,349.46,5,13582,XXXXXXXXXXXX4253,Robert Brown,San Diego,CA,44797,Amazon,TRUIST BANK,Robert,Brown,robert.brown@example.com,False,LEGITIMATE,0,
4655814,2025-10-18 14:56:33,2025-10-21 14:56:33,205.35,5,14699,XXXXXXXXXXXX1737,James Thompson,Indianapolis,IN,29561,Exxon,REGIONS BANK,James,Thompson,james.thompson@example.com,False,LEGITIMATE,0,
4655815,2025-10-18 15:15:33,2025-10-21 15:15:33,16.38,5,7348,XXXXXXXXXXXX3470,Mary Martinez,Fort Worth,TX,74710,Target,PNC BANK,Mary,Martinez,mary.martinez@example.com,False,LEGITIMATE,0,
4655816,2025-10-18 15:43:33,2025-10-20 15:43:33,169.94,5,11344,XXXXXXXXXXXX1838,Jessica Thomas,Baltimore,MD,38925,Amazon,DISCOVER BANK,Jessica,Thomas,jessica.thomas@example.com,False,LEGITIMATE,0,
4655817,2025-10-18 16:13:33,2025-10-20 16:13:33,209.04,5,16978,XXXXXXXXXXXX2773,Sarah Davis,Louisville,KY,54342,Exxon,CHASE BANK,Sarah,Davis,sarah.davis@example.com,False,LEGITIMATE,0,
4655818,2025-10-18 17:09:33,2025-10-19 17:09:33,370.8,5,11533,XXXXXXXXXXXX2694,Patricia Martinez,Dallas,TX,69814,Netflix,US BANK,Patricia,Martinez,patricia.martinez@example.com,False,LEGITIMATE,0,
4655820,2025-10-18 17:31:33,2025-10-19 17:31:33,473.85,5,10976,XXXXXXXXXXXX1769,Nancy Martin,Miami,FL,32709,CVS Pharmacy,FIFTH THIRD BANK,Nancy,Smith-Jones,nancy1682@tempmail.com,True,SYNTHETIC_IDENTITY,85,synthetic_identity_mismatched_data|synthetic_identity_high_spend
4655821,2025-10-18 17:42:33,2025-10-19 17:42:33,208.09,5,12776,XXXXXXXXXXXX7132,Christopher Thomas,Columbus,OH,76995,Amazon,TD BANK,Christopher,Thomas,christopher.thomas@example.com,False,LEGITIMATE,0,
4655822,2025-10-18 18:04:33,2025-10-21 18:04:33,87.73,5,15734,XXXXXXXXXXXX6668,Thomas Taylor,Philadelphia,PA,39114,Best Buy,CHASE BANK,Thomas,Taylor,thomas.taylor@example.com,False,LEGITIMATE,0,
4655823,2025-10-18 18:11:33,2025-10-20 18:11:33,342.99,5,7953,XXXXXXXXXXXX1970,Joseph Brown,Miami,FL,13765,McDonald's,TRUIST BANK,Joseph,Brown,joseph.brown@example.com,False,LEGITIMATE,0,
4655824,2025-10-18 18:30:33,2025-10-20 18:30:33,22.61,5,16416,XXXXXXXXXXXX7550,James Perez,Indianapolis,IN,88786,Netflix,BANK OF AMERICA,James,Perez,james.perez@example.com,False,LEGITIMATE,0,
4655825,2025-10-18 18:39:33,2025-10-19 18:39:33,65.36,5,13740,XXXXXXXXXXXX2776,Robert Moore,San Jose,CA,13240,Walgreens,PNC BANK,Robert,Moore,robert.moore@example.com,False,LEGITIMATE,0,
4655826,2025-10-18 19:11:33,2025-10-19 19:11:33,473.75,5,12729,XXXXXXXXXXXX8576,Christopher Moore,Detroit,MI,58754,Whole Foods,PNC BANK,Christopher,Moore,christopher.moore@example.com,False,LEGITIMATE,0,
4655827,2025-10-18 20:09:33,2025-10-20 20:09:33,1838.41,5,11433,XXXXXXXXXXXX8873,James Gonzalez,Nashville,TN,24356,Exxon,DISCOVER BANK,James,Gonzalez,james.gonzalez@example.com,False,LEGITIMATE,0,
4655828,2025-10-18 21:05:33,2025-10-19 21:05:33,263.34,5,15262,XXXXXXXXXXXX8882,Susan Moore,Detroit,MI,78822,Shell Gas,FIFTH THIRD BANK,Susan,Moore,susan.moore@example.com,False,LEGITIMATE,0,
4655829,2025-10-18 21:08:33,2025-10-19 21:08:33,373.23,5,9792,XXXXXXXXXXXX4403,Robert Perez,Milwaukee,WI,56303,Walmart,AMERICAN EXPRESS,Robert,Perez,robert.perez@example.com,False,LEGITIMATE,0,
4655830,2025-10-18 21:40:33,2025-10-21 21:40:33,200.67,5,7962,XXXXXXXXXXXX7248,David Brown,Mesa,AZ,18432,Walmart,WELLS FARGO,David,Brown,david.brown@example.com,False,LEGITIMATE,0,
4655831,2025-10-18 22:22:33,2025-10-21 22:22:33,188.09,5,11212,XXXXXXXXXXXX3637,Robert Thompson,New York,NY,65169,Microsoft,DISCOVER BANK,Robert,Thompson,robert.thompson@example.com,False,LEGITIMATE,0,
4655832,2025-10-18 23:15:33,2025-10-20 23:15:33,1078.96,5,13631,XXXXXXXXXXXX0039,Susan Wilson,San Diego,CA,58790,Exxon,WELLS FARGO,Susan,Wilson,susan.wilson@example.com,False,LEGITIMATE,0,
4655833,2025-10-19 00:11:33,2025-10-21 00:11:33,423.32,5,10715,XXXXXXXXXXXX0920,John Thompson,Tucson,AZ,72076,Walgreens,DISCOVER BANK,John,Thompson,john.thompson@example.com,False,LEGITIMATE,0,
4655834,2025-10-19 00:48:33,2025-10-21 00:48:33,284.54,5,11480,XXXXXXXXXXXX7179,Jennifer Thomas,San Jose,CA,29831,Microsoft,CITIBANK,Jennifer,Thomas,jennifer.thomas@example.com,False,LEGITIMATE,0,
4655835,2025-10-19 00:56:33,2025-10-20 00:56:33,438.56,5,8721,XXXXXXXXXXXX3873,Nancy Jackson,Fresno,CA,97290,Amazon,TRUIST BANK,Nancy,Jackson,nancy.jackson@example.com,False,LEGITIMATE,0,
4655837,2025-10-19 01:37:33,2025-10-20 01:37:33,539.5,5,8074,XXXXXXXXXXXX1465,William Gonzalez,Portland,OR,29113,Target,AMERICAN EXPRESS,William,Lee-Brown,william9666@tempmail.com,True,SYNTHETIC_IDENTITY,85,synthetic_identity_mismatched_data|synthetic_identity_high_spend
4655838,2025-10-19 01:49:33,2025-10-21 01:49:33,318.49,5,15106,XXXXXXXXXXXX6386,John Martin,Portland,OR,88189,Target,WELLS FARGO,John,Martin,john.martin@example.com,False,LEGITIMATE,0,
4655839,2025-10-19 02:16:33,2025-10-21 02:16:33,11.07,5,9195,XXXXXXXXXXXX9681,Jennifer Anderson,Fort Worth,TX,20492,Netflix,TD BANK,Jennifer,Anderson,jennifer.anderson@example.com,False,LEGITIMATE,0,
4655840,2025-10-19 02:39:33,2025-10-22 02:39:33,38.58,5,7998,XXXXXXXXXXXX9574,Linda Anderson,Denver,CO,97819,Best Buy,AMERICAN EXPRESS,Linda,Anderson,linda.anderson@example.com,False,LEGITIMATE,0,
4655841,2025-10-19 02:43:33,2025-10-22 02:43:33,119.25,5,11217,XXXXXXXXXXXX4053,Mary Thompson,Charlotte,NC,27919,Kroger,TRUIST BANK,Mary,Thompson,mary.thompson@example.com,False,LEGITIMATE,0,
4655842,2025-10-19 03:26:33,2025-10-22 03:26:33,320.08,5,7916,XXXXXXXXXXXX8954,Elizabeth Thompson,Los Angeles,CA,78217,Apple,TD BANK,Elizabeth,Thompson,elizabeth.thompson@example.com,False,LEGITIMATE,0,
4655843,2025-10-19 03:54:33,2025-10-21 03:54:33,78.27,5,13930,XXXXXXXXXXXX2997,William Hernandez,Baltimore,MD,15331,Home Depot,CAPITAL ONE,William,Hernandez,william.hernandez@example.com,False,LEGITIMATE,0,
4655844,2025-10-19 04:42:33,2025-10-21 04:42:33,31.48,5,15047,XXXXXXXXXXXX9681,Thomas Williams,Phoenix,AZ,25443,McDonald's,PNC BANK,Thomas,Williams,thomas.williams@example.com,False,LEGITIMATE,0,
4655845,2025-10-19 05:18:33,2025-10-20 05:18:33,52.53,5,12301,XXXXXXXXXXXX9063,John Jones,Louisville,KY,84299,Starbucks,CHASE BANK,John,Jones,john.jones@example.com,False,LEGITIMATE,0,
