TransactionID,CapturedDate,SettlementDate,Amount,TransactionStatusTypeID,CreditCardAccountID,CardNumberMasked,NameOnCard,City,State,ZipCode,MerchantName,IssuingBankName,FirstName,LastName,Email,is_fraud,fraud_type,fraud_score,fraud_flags
4049886,2025-10-18 14:16:40,2025-10-19 14:16:40,201.71,5,13259,XXXXXXXXXXXX1917,Linda Rodriguez,Dallas,TX,36027,Microsoft,US BANK,Linda,Rodriguez,linda.rodriguez@example.com,False,LEGITIMATE,0,
4049887,2025-10-18 14:19:40,2025-10-20 14:19:40,259.81,5,16264,XXXXXXXXXXXX4386,Christopher Garcia,Milwaukee,WI,50659,Exxon,TD BANK,Christopher,Garcia,christopher.garcia@example.com,False,LEGITIMATE,0,
4049888,2025-10-18 14:57:40,2025-10-19 14:57:40,497.83,5,15707,XXXXXXXXXXXX1211,Barbara Lee,Austin,TX,58691,Walgreens,AMERICAN EXPRESS,Barbara,Lee,barbara.lee@example.com,False,LEGITIMATE,0,
4049889,2025-10-18 15:52:40,2025-10-20 15:52:40,73.57,5,15179,XXXXXXXXXXXX3827,Barbara Wilson,Indianapolis,IN,56970,Home Depot,FIFTH THIRD BANK,Barbara,Wilson,barbara.wilson@example.com,False,LEGITIMATE,0,
4049890,2025-10-18 16:11:40,2025-10-19 16:11:40,70.79,5,9747,XXXXXXXXXXXX4360,Susan Wilson,Detroit,MI,10031,Whole Foods,REGIONS BANK,Susan,Wilson,susan.wilson@example.com,False,LEGITIMATE,0,
4049891,2025-10-18 16:40:40,2025-10-20 16:40:40,372.54,5,11628,XXXXXXXXXXXX1237,Mary Martin,Atlanta,GA,17899,Kroger,TRUIST BANK,Mary,Martin,mary.martin@example.com,False,LEGITIMATE,0,
4049892,2025-10-18 17:38:40,2025-10-20 17:38:40,459.48,5,8788,XXXXXXXXXXXX7766,Jennifer Anderson,Phoenix,AZ,97249,Home Depot,US BANK,Jennifer,Anderson,jennifer.anderson@example.com,False,LEGITIMATE,0,
4049893,2025-10-18 18:17:40,2025-10-21 18:17:40,63.63,5,11538,XXXXXXXXXXXX6271,Sarah Jackson,San Diego,CA,89407,Amazon,CAPITAL ONE,Sarah,Jackson,sarah.jackson@example.com,False,LEGITIMATE,0,
4049894,2025-10-18 19:17:40,2025-10-19 19:17:40,324.31,5,16317,XXXXXXXXXXXX6340,William Wilson,Charlotte,NC,66022,Microsoft,CAPITAL ONE,William,Wilson,william.wilson@example.com,False,LEGITIMATE,0,
4049895,2025-10-18 20:15:40,2025-10-20 20:15:40,127.77,5,16342,XXXXXXXXXXXX2392,Patricia Garcia,Kansas City,MO,83037,Netflix,DISCOVER BANK,Patricia,Garcia,patricia.garcia@example.com,False,LEGITIMATE,0,
4049896,2025-10-18 20:43:40,2025-10-19 20:43:40,339.02,5,11769,XXXXXXXXXXXX2201,Joseph Garcia,Indianapolis,IN,65249,Apple,TD BANK,Joseph,Garcia,joseph.garcia@example.com,False,LEGITIMATE,0,
4049897,2025-10-18 21:04:40,2025-10-19 21:04:40,490.85,5,13223,XXXXXXXXXXXX1530,William Wilson,Sacramento,CA,54121,CVS Pharmacy,BANK OF AMERICA,William,Wilson,william.wilson@example.com,False,LEGITIMATE,0,
4049898,2025-10-18 21:38:40,2025-10-20 21:38:40,145.36,5,10906,XXXXXXXXXXXX6578,Jennifer Gonzalez,Kansas City,MO,93011,Walgreens,CAPITAL ONE,Jennifer,Gonzalez,jennifer.gonzalez@example.com,False,LEGITIMATE,0,
4049899,2025-10-18 21:45:40,2025-10-21 21:45:40,80.55,5,13838,XXXXXXXXXXXX7617,Barbara Miller,Columbus,OH,91841,McDonald's,WELLS FARGO,Barbara,Miller,barbara.miller@example.com,False,LEGITIMATE,0,
4049900,2025-10-18 22:37:40,2025-10-19 22:37:40,133.32,5,14360,XXXXXXXXXXXX8089,Christopher Hernandez,Denver,CO,62359,Netflix,REGIONS BANK,Christopher,Hernandez,christopher.hernandez@example.com,False,LEGITIMATE,0,
4049901,2025-10-18 23:13:40,2025-10-21 23:13:40,371.1,5,15315,XXXXXXXXXXXX7021,Barbara Jones,Chicago,IL,61401,Kroger,SYNCHRONY BANK,Barbara,Jones,barbara.jones@example.com,False,LEGITIMATE,0,
4049903,2025-10-18 23:20:40,2025-10-21 23:20:40,746.81,5,12332,XXXXXXXXXXXX8987,Sarah Jones,Miami,FL,49858,Exxon,TD BANK,Sarah,Jones,sarah.jones@example.com,True,ACCOUNT_TAKEOVER,90,account_takeover_unusual_location|account_takeover_large_amount
4049904,2025-10-18 23:59:40,2025-10-20 23:59:40,251.33,5,12812,XXXXXXXXXXXX7846,Richard Thompson,Phoenix,AZ,91309,Whole Foods,DISCOVER BANK,Richard,Thompson,richard.thompson@example.com,False,LEGITIMATE,0,
4049905,2025-10-19 00:55:40,2025-10-22 00:55:40,106.77,5,14459,XXXXXXXXXXXX2979,Susan Martinez,Fort Worth,TX,28850,Home Depot,AMERICAN EXPRESS,Susan,Martinez,susan.martinez@example.com,False,LEGITIMATE,0,
4049906,2025-10-19 01:22:40,2025-10-22 01:22:40,39.06,5,8389,XXXXXXXXXXXX1741,Karen Miller,Philadelphia,PA,83378,Walmart,CITIBANK,Karen,Miller,karen.miller@example.com,False,LEGITIMATE,0,
4049907,2025-10-19 02:09:40,2025-10-22 02:09:40,245.64,5,10823,XXXXXXXXXXXX1098,Richard Wilson,Dallas,TX,84814,Amazon,SYNCHRONY BANK,Richard,Wilson,richard.wilson@example.com,False,LEGITIMATE,0,
4049908,2025-10-19 02:32:40,2025-10-22 02:32:40,188.9,5,15876,XXXXXXXXXXXX0740,William Thompson,San Antonio,TX,39771,Walmart,FIFTH THIRD BANK,William,Thompson,william.thompson@example.com,False,LEGITIMATE,0,
4049910,2025-10-19 03:30:40,2025-10-20 03:30:40,1635.4,5,12332,XXXXXXXXXXXX9758,Christopher Rodriguez,Portland,OR,33297,Amazon,TRUIST BANK,Christopher,Rodriguez,christopher.rodriguez@example.com,True,ACCOUNT_TAKEOVER,90,account_takeover_unusual_location|account_takeover_large_amount
4049911,2025-10-19 03:39:40,2025-10-21 03:39:40,9.43,5,7893,XXXXXXXXXXXX5516,Linda Wilson,Sacramento,CA,72476,Apple,PNC BANK,Linda,Wilson,linda.wilson@example.com,False,LEGITIMATE,0,
4049913,2025-10-19 04:06:40,2025-10-21 04:06:40,680.88,5,12332,XXXXXXXXXXXX7909,Barbara Anderson,Portland,OR,18449,Starbucks,TRUIST BANK,Barbara,Anderson,barbara.anderson@example.com,True,ACCOUNT_TAKEOVER,90,account_takeover_unusual_location|account_takeover_large_amount
4049914,2025-10-19 04:28:40,2025-10-22 04:28:40,146.66,5,16387,XXXXXXXXXXXX4829,Christopher Moore,Indianapolis,IN,35262,Amazon,FIFTH THIRD BANK,Christopher,Moore,christopher.moore@example.com,False,LEGITIMATE,0,
