TransactionID,CapturedDate,SettlementDate,Amount,TransactionStatusTypeID,CreditCardAccountID,CardNumberMasked,NameOnCard,City,State,ZipCode,MerchantName,IssuingBankName,FirstName,LastName,Email,is_fraud,fraud_type,fraud_score,fraud_flags
4547885,2025-10-18 14:13:32,2025-10-21 14:13:32,131.01,5,8650,XXXXXXXXXXXX4958,Jessica Lee,Baltimore,MD,81857,Costco,SYNCHRONY BANK,Jessica,Lee,jessica.lee@example.com,False,LEGITIMATE,0,
4547886,2025-10-18 14:31:32,2025-10-21 14:31:32,144.93,5,12054,XXXXXXXXXXXX1176,Mary Williams,Philadelphia,PA,61944,Walgreens,DISCOVER BANK,Mary,Williams,mary.williams@example.com,False,LEGITIMATE,0,
4547887,2025-10-18 15:25:32,2025-10-19 15:25:32,210.73,5,13035,XXXXXXXXXXXX6017,Christopher Garcia,Austin,TX,49367,Kroger,DISCOVER BANK,Christopher,Garcia,christopher.garcia@example.com,False,LEGITIMATE,0,
4547888,2025-10-18 15:52:32,2025-10-19 15:52:32,401.64,5,7035,XXXXXXXXXXXX5467,Christopher Wilson,San Antonio,TX,80419,Kroger,WELLS FARGO,Christopher,Wilson,christopher.wilson@example.com,False,LEGITIMATE,0,
4547889,2025-10-18 16:16:32,2025-10-20 16:16:32,383.0,5,8783,XXXXXXXXXXXX7241,Elizabeth Perez,Fort Worth,TX,64154,Whole Foods,DISCOVER BANK,Elizabeth,Perez,elizabeth.perez@example.com,False,LEGITIMATE,0,
4547890,2025-10-18 17:07:32,2025-10-21 17:07:32,467.43,5,13074,XXXXXXXXXXXX5285,Richard Williams,Detroit,MI,45921,Whole Foods,US BANK,Richard,Williams,richard.williams@example.com,False,LEGITIMATE,0,
4547891,2025-10-18 17:37:32,2025-10-21 17:37:32,362.77,5,13742,XXXXXXXXXXXX8938,Elizabeth Taylor,Phoenix,AZ,69639,Apple,TD BANK,Elizabeth,Taylor,elizabeth.taylor@example.com,False,LEGITIMATE,0,
4547893,2025-10-18 17:53:32,2025-10-21 17:53:32,415.7,5,13262,XXXXXXXXXXXX4798,Mary Taylor,Fort Worth,TX,61876,Target,CITIBANK,Mary,Smith-Jones,mary3292@tempmail.com,True,SYNTHETIC_IDENTITY,85,synthetic_identity_mismatched_data|synthetic_identity_high_spend
4547894,2025-10-18 18:01:32,2025-10-21 18:01:32,110.33,5,7018,XXXXXXXXXXXX6825,Robert Davis,Boston,MA,73394,Best Buy,AMERICAN EXPRESS,Robert,Davis,robert.davis@example.com,False,LEGITIMATE,0,
4547895,2025-10-18 18:15:32,2025-10-21 18:15:32,346.08,5,14626,XXXXXXXXXXXX7352,Charles Martinez,Denver,CO,66478,Apple,US BANK,Charles,Martinez,charles.martinez@example.com,False,LEGITIMATE,0,
